timestamp,latitude,longitude,altitude_m,acc_horiz,acc_vert,course,speed_kts,altitude_ft,bank,pitch
2024-11-05T16:50:29.11Z,40.727455,-114.0382,1294.7,0.0,0.0,-1.0,0.0,4247.74,-0.23,0.31
2024-11-05T16:50:30.71Z,40.727455,-114.038201,1294.6,0.0,0.0,-1.0,0.0,4247.5,-0.23,0.31
2024-11-05T16:50:31.93Z,40.727455,-114.038201,1294.6,0.0,0.0,-1.0,0.0,4247.43,-0.23,0.31
2024-11-05T16:50:32.91Z,40.727455,-114.038202,1294.6,0.0,0.0,-1.0,0.0,4247.47,-0.23,0.31
2024-11-05T16:50:33.91Z,40.727454,-114.038202,1294.6,0.0,0.0,-1.0,0.0,4247.49,-0.23,0.31
2024-11-05T16:50:34.94Z,40.727454,-114.038204,1294.8,0.0,0.0,-1.0,0.0,4247.93,-0.23,0.31
2024-11-05T16:50:35.91Z,40.727454,-114.038205,1294.8,0.0,0.0,-1.0,0.0,4248.14,-0.23,0.31
2024-11-05T16:50:36.70Z,40.727454,-114.038207,1294.9,0.0,0.0,-1.0,0.0,4248.25,-0.23,0.31
2024-11-05T16:50:37.51Z,40.727454,-114.03821,1294.9,0.0,0.0,-1.0,0.0,4248.3,-0.23,0.31
2024-11-05T16:50:38.10Z,40.727454,-114.038212,1294.9,0.0,0.0,-1.0,0.0,4248.36,-0.23,0.31
2024-11-05T16:50:39.51Z,40.727455,-114.038218,1294.9,0.0,0.0,-1.0,0.7,4248.39,-0.23,0.31
2024-11-05T16:50:40.91Z,40.727454,-114.038224,1294.9,0.0,0.0,-1.0,0.74,4248.43,-0.23,0.31
2024-11-05T16:50:41.71Z,40.727454,-114.03823,1294.9,0.0,0.0,-1.0,0.84,4248.43,-0.23,0.31
2024-11-05T16:50:42.71Z,40.727454,-114.038236,1295.0,0.0,0.0,-1.0,1.01,4248.55,-0.23,0.31
2024-11-05T16:50:43.31Z,40.727454,-114.03824,1294.9,0.0,0.0,-1.0,1.05,4248.52,-0.23,0.31
2024-11-05T16:50:44.93Z,40.727454,-114.038253,1295.0,0.0,0.0,-1.0,1.25,4248.53,-0.23,0.31
2024-11-05T16:50:45.70Z,40.727455,-114.03826,1295.0,0.0,0.0,-1.0,1.42,4248.58,-0.23,0.31
2024-11-05T16:50:47.10Z,40.727455,-114.038273,1294.9,0.0,0.0,-1.0,1.69,4248.52,-0.23,0.31
2024-11-05T16:50:48.70Z,40.727455,-114.038292,1294.9,0.0,0.0,271.62,2.06,4248.3,-0.23,0.31
2024-11-05T16:50:49.92Z,40.727455,-114.038308,1294.9,0.0,0.0,271.47,2.28,4248.34,-0.23,0.31
2024-11-05T16:50:50.70Z,40.727455,-114.038319,1294.9,0.0,0.0,269.51,2.25,4248.45,-0.23,0.31
2024-11-05T16:50:52.10Z,40.727454,-114.038338,1295.0,0.0,0.0,265.07,2.26,4248.78,-0.23,0.31
