,timestamp,latitude,longitude,altitude_m,acc_horiz,acc_vert,course,speed_kts,altitude_ft,bank,pitch
511,2024-11-05T17:00:30.29Z,40.710952,-114.022994,1291.4,0.0,0.0,-1.0,0.0,4236.81,-0.32,0.59
512,2024-11-05T17:00:32.50Z,40.710961,-114.023005,1291.5,0.0,0.0,317.17,2.17,4237.07,-0.25,0.67
513,2024-11-05T17:00:33.09Z,40.710968,-114.023013,1291.5,0.0,0.0,317.25,3.49,4237.2,-0.24,0.89
514,2024-11-05T17:00:34.49Z,40.711001,-114.023053,1291.6,0.0,0.0,317.4,10.17,4237.41,0.07,1.27
515,2024-11-05T17:00:35.30Z,40.711036,-114.023098,1291.6,0.0,0.0,315.95,14.85,4237.48,0.28,1.44
516,2024-11-05T17:00:36.69Z,40.711128,-114.023217,1291.5,0.0,0.0,315.07,23.28,4237.34,0.45,1.5
517,2024-11-05T17:00:37.69Z,40.711216,-114.023333,1291.5,0.0,0.0,314.76,29.32,4237.29,0.78,1.31
518,2024-11-05T17:00:38.30Z,40.711278,-114.023416,1291.5,0.0,0.0,314.64,32.89,4237.22,0.7,1.2
519,2024-11-05T17:00:39.90Z,40.711423,-114.023609,1291.5,0.0,0.0,314.53,40.0,4237.2,0.76,0.94
520,2024-11-05T17:00:40.50Z,40.711565,-114.023797,1291.5,0.0,0.0,314.95,45.84,4237.19,0.84,0.97
521,2024-11-05T17:00:41.90Z,40.711762,-114.024056,1291.5,0.0,0.0,314.93,52.79,4237.12,0.86,0.75
522,2024-11-05T17:00:42.70Z,40.711946,-114.024298,1291.5,0.0,0.0,314.97,58.58,4237.09,1.5,0.17
523,2024-11-05T17:00:44.09Z,40.712235,-114.024677,1291.5,0.0,0.0,314.98,66.2,4237.36,1.44,0.27
524,2024-11-05T17:00:45.69Z,40.712608,-114.025166,1291.6,0.0,0.0,314.94,74.72,4237.55,1.55,0.34
525,2024-11-05T17:00:46.30Z,40.712759,-114.025365,1291.7,0.0,0.0,314.89,77.92,4237.94,1.17,1.49
526,2024-11-05T17:00:47.69Z,40.713138,-114.025857,1291.9,0.0,0.0,315.71,85.18,4238.49,1.48,2.06
527,2024-11-05T17:00:48.30Z,40.713312,-114.026079,1291.9,0.0,0.0,315.81,88.18,4238.65,1.96,2.11
528,2024-11-05T17:00:49.69Z,40.71374,-114.026629,1292.1,0.0,0.0,315.64,95.05,4239.04,3.1,2.87
529,2024-11-05T17:00:50.29Z,40.713933,-114.026877,1292.3,0.0,0.0,315.59,97.88,4239.97,2.68,5.13
530,2024-11-05T17:00:51.69Z,40.714403,-114.02748,1293.4,0.0,0.0,315.5,103.64,4243.5,-2.75,6.71
531,2024-11-05T17:00:52.30Z,40.714611,-114.027751,1294.2,0.0,0.0,315.37,105.92,4246.21,-1.25,6.68
532,2024-11-05T17:00:53.70Z,40.715113,-114.028403,1296.8,0.0,0.0,315.33,110.92,4254.63,1.77,6.19
533,2024-11-05T17:00:54.50Z,40.715409,-114.02879,1298.6,0.0,0.0,315.04,113.64,4260.6,-2.37,6.64
534,2024-11-05T17:00:55.10Z,40.715635,-114.029088,1300.3,0.0,0.0,314.69,115.61,4265.98,-3.14,6.35
535,2024-11-05T17:00:56.50Z,40.716172,-114.029806,1304.6,0.0,0.0,314.45,119.77,4280.12,2.02,5.9
536,2024-11-05T17:00:57.10Z,40.716409,-114.030121,1306.7,0.0,0.0,314.59,121.67,4286.97,2.31,5.99
537,2024-11-05T17:00:59.50Z,40.717399,-114.031429,1313.9,0.0,0.0,314.75,130.41,4310.86,0.11,5.19
538,2024-11-05T17:01:00.10Z,40.717658,-114.031773,1315.0,0.0,0.0,314.76,133.47,4314.19,1.19,3.49
539,2024-11-05T17:01:01.09Z,40.718103,-114.032363,1315.3,0.0,0.0,314.85,138.33,4315.34,2.58,3.28
